epochth	original	50*x	50*x	30*x	10*x
1	0.1182	0.109	0.0927	0.1163	0.1088
2	0.15	0.1157	0.1	0.1115	0.1324
3	0.1568	0.1261	0.1216	0.2229	0.1006
4	0.1366	0.1614	0.1076	0.2675	0.109
5	0.1215	0.1883	0.1694	0.155	0.1702
6	0.3146	0.2274	0.2665	0.2488	0.2114
7	0.4098	0.331	0.4796	0.2462	0.3364
8	0.5212	0.3664	0.4522	0.4312	0.3522
9	0.5515	0.1479	0.143	0.4879	0.4926
10	0.5486	0.3176	0.1614	0.4079	0.6342
11	0.5909	0.4758	0.3191	0.5953	0.4775
12	0.622	0.5379	0.4148	0.6489	0.4793
13	0.6683	0.5701	0.5227	0.5961	0.5816
14	0.6839	0.5763	0.5475	0.683	0.5642
15	0.721	0.1008	0.5314	0.6183	0.5385
16	0.69	0.276	0.4497	0.6569	0.7104
17	0.707	0.3543	0.5536	0.7085	0.6982
18	0.7517	0.4901	0.6452	0.7327	0.619
19	0.672	0.4381	0.6455	0.6874	0.6345
20	0.704	0.6097	0.1647	0.6696	0.7056
21	0.7755	0.6831	0.2759	0.7617	0.7323
22	0.7515	0.7106	0.299	0.7469	0.7216
23	0.7842	0.5557	0.312	0.7922	0.7538
24	0.7732	0.6268	0.4465	0.7298	0.6954
25	0.8022	0.6278	0.3139	0.8014	0.7945
26	0.7224	0.723	0.4268	0.7897	0.786
27	0.7827	0.7368	0.4909	0.8023	0.7757
28	0.767	0.716	0.5257	0.7776	0.7843
29	0.729	0.1	0.5706	0.7477	0.787
30	0.784	0.2231	0.62	0.7761	0.7322
31	0.7686	0.3162	0.6913	0.7667	0.7933
32	0.7823	0.4312	0.4324	0.8044	0.6381
33	0.7775	0.4391	0.684	0.8166	0.7558
34	0.8074	0.4903	0.6568	0.7259	0.7788
35	0.7832	0.5293	0.7508	0.7608	0.7856
36	0.8001	0.6193	0.3521	0.7543	0.7994
37	0.8241	0.2984	0.7072	0.7958	0.7503
38	0.7878	0.4977	0.7176	0.7694	0.7921
39	0.8112	0.6036	0.7233	0.7564	0.8148
40	0.8071	0.6593	0.1014	0.7841	0.7679
41	0.8485	0.6153	0.6057	0.8602	0.8298
42	0.8606	0.7284	0.7507	0.8498	0.8282
43	0.859	0.5973	0.6724	0.8389	0.833
44	0.8469	0.7034	0.7357	0.853	0.7995
45	0.8455	0.6943	0.7787	0.8224	0.8006
46	0.828	0.2413	0.7262	0.8461	0.8466
47	0.8607	0.6602	0.7703	0.8437	0.8313
48	0.8302	0.7112	0.6953	0.8321	0.819
49	0.841	0.6897	0.7656	0.862	0.8366
50	0.8203	0.2918	0.7972	0.8546	0.8473
51	0.8322	0.6593	0.7871	0.8433	0.8567
52	0.833	0.7185	0.8016	0.8411	0.8025
53	0.8413	0.7285	0.7806	0.818	0.825
